Name of MALDI Data,X,Y,Z,Radii
0_R00X076Y142,-8.944,31.5499,49.1362,1
0_R00X076Y143,-8.9185,31.5728,49.0444,1
0_R00X076Y144,-8.8793,31.579,48.9223,1
0_R00X076Y145,-8.8489,31.5961,48.805,1
0_R00X076Y146,-8.8218,31.6062,48.7081,1
0_R00X076Y147,-8.7969,31.6254,48.6119,1
0_R00X076Y148,-8.7702,31.6347,48.5292,1
0_R00X076Y149,-8.7423,31.6338,48.4589,1
0_R00X076Y150,-8.7206,31.6435,48.3965,1
0_R00X076Y151,-8.7084,31.6499,48.3607,1
0_R00X076Y152,-8.6943,31.6564,48.3188,1
0_R00X076Y153,-8.6793,31.6655,48.2775,1
0_R00X076Y154,-8.6603,31.677,48.2329,1
0_R00X076Y155,-8.637,31.6861,48.186,1
0_R00X076Y156,-8.6178,31.6957,48.1462,1
0_R00X076Y157,-8.5985,31.7041,48.1053,1
0_R00X076Y158,-8.579,31.7114,48.0654,1
0_R00X076Y159,-8.561,31.7238,48.0304,1
0_R00X076Y160,-8.5354,31.7358,47.9872,1
0_R00X076Y161,-8.5042,31.7545,47.933,1
0_R00X076Y162,-8.4698,31.7717,47.8762,1
0_R00X076Y163,-8.4382,31.7922,47.8293,1
0_R00X077Y117,-8.5555,32.0829,47.8615,1
0_R00X077Y118,-8.5852,32.0686,47.8999,1
0_R00X077Y119,-8.6154,32.0538,47.9403,1
0_R00X077Y120,-8.643,32.0372,47.9791,1
0_R00X077Y121,-8.6708,32.0203,48.0204,1
0_R00X077Y122,-8.6975,32.008,48.0643,1
0_R00X077Y123,-8.7252,31.9987,48.1128,1
0_R00X077Y124,-8.7514,31.9846,48.1642,1
0_R00X077Y125,-8.7801,31.9759,48.2288,1
0_R00X077Y126,-8.8035,31.9704,48.291,1
0_R00X077Y127,-8.8278,31.9634,48.3662,1
0_R00X077Y128,-8.8497,31.96,48.4271,1
0_R00X077Y129,-8.8636,31.9512,48.4724,1
0_R00X077Y130,-8.8802,31.9427,48.5267,1
0_R00X077Y131,-8.9007,31.9324,48.5914,1
0_R00X077Y132,-8.9227,31.9285,48.6602,1
0_R00X077Y133,-8.9479,31.9208,48.7441,1
0_R00X077Y134,-8.9673,31.9102,48.8098,1
0_R00X077Y135,-8.9956,31.8964,48.9126,1
0_R00X077Y136,-9.0178,31.8861,48.992,1
0_R00X077Y137,-9.0421,31.8704,49.0723,1
0_R00X077Y138,-9.073,31.8612,49.1537,1
0_R00X077Y139,-9.1076,31.8494,49.2339,1
0_R00X077Y140,-9.1425,31.8273,49.3209,1
0_R00X077Y141,-9.1748,31.8154,49.3954,1
0_R00X077Y142,-9.2097,31.7972,49.4803,1
0_R00X077Y143,-9.2439,31.7809,49.5668,1
0_R00X077Y144,-9.2725,31.7702,49.6354,1
0_R00X077Y145,-9.3056,31.7492,49.7256,1
0_R00X077Y146,-9.3433,31.7367,49.8127,1
0_R00X077Y147,-9.3898,31.7224,49.8736,1
0_R00X077Y148,-9.4306,31.7135,49.9068,1
0_R00X077Y149,-9.464,31.6987,49.9349,1
0_R00X077Y150,-9.5035,31.681,49.9698,1
0_R00X077Y151,-9.5506,31.663,50.0123,1
0_R00X077Y152,-9.6048,31.6374,50.0606,1
0_R00X077Y153,-9.6547,31.6214,50.1028,1
0_R00X077Y154,-9.7127,31.5893,50.1472,1
0_R00X077Y155,-9.784,31.5486,50.1986,1
0_R00X077Y156,-9.8411,31.5191,50.2438,1
0_R00X077Y157,-9.9174,31.4959,50.3002,1
0_R00X077Y158,-9.9583,31.4699,50.3228,1
0_R00X077Y159,-10.0209,31.4403,50.3612,1
0_R00X077Y160,-10.1,31.4018,50.4084,1
0_R00X077Y161,-10.1752,31.3545,50.4417,1
0_R00X077Y162,-10.2548,31.3148,50.4773,1
0_R00X077Y163,-10.3438,31.2656,50.5053,1
0_R00X077Y164,-10.4407,31.2108,50.5244,1
0_R00X078Y117,-10.8182,31.5102,50.9763,1
0_R00X078Y118,-10.7336,31.5492,50.9724,1
0_R00X078Y119,-10.6499,31.5939,50.9661,1
0_R00X078Y120,-10.5641,31.6336,50.9475,1
0_R00X078Y121,-10.493,31.6694,50.9248,1
0_R00X078Y122,-10.3633,31.7392,50.8662,1
0_R00X078Y123,-10.2852,31.7773,50.7988,1
0_R00X078Y124,-10.2,31.8333,50.7155,1
0_R00X078Y125,-10.1313,31.8669,50.6431,1
0_R00X078Y126,-10.0588,31.9009,50.5756,1
0_R00X078Y127,-9.9928,31.9412,50.52,1
0_R00X078Y128,-9.9011,31.9786,50.4304,1
0_R00X078Y129,-9.8127,32.0395,50.3452,1
0_R00X078Y130,-9.7595,32.0615,50.2674,1
0_R00X078Y131,-9.6711,32.0961,50.1264,1
0_R00X078Y132,-9.6108,32.1222,50.0231,1
0_R00X078Y133,-9.5459,32.1452,49.9051,1
0_R00X078Y134,-9.4943,32.1598,49.8112,1
0_R00X078Y135,-9.4407,32.1915,49.6677,1
0_R00X078Y136,-9.3888,32.2073,49.5412,1
0_R00X078Y137,-9.3581,32.2172,49.4651,1
0_R00X078Y138,-9.325,32.2295,49.3626,1
0_R00X078Y139,-9.2943,32.2399,49.2677,1
0_R00X078Y140,-9.2691,32.2429,49.1937,1
0_R00X078Y141,-9.253,32.249,49.126,1
0_R00X078Y142,-9.241,32.2535,49.069,1
0_R00X078Y143,-9.2278,32.2566,49.009,1
0_R00X078Y144,-9.2128,32.2589,48.9485,1
0_R00X078Y145,-9.2031,32.2626,48.9043,1
0_R00X078Y146,-9.1954,32.2681,48.8617,1
0_R00X078Y147,-9.1863,32.2712,48.8191,1
